title,brand,price,description,material,size,color,availability,url,img_url,scraped_at
basic skirt legging,HIJUP ACTIVE,103950,Basic Skirt Legging dari HIJUP ACTIVE.,- Celana.,S/M,Mocca,Belanja Sekarang,https://www.hijup.com/id/pants/79144-basic-skirt-legging,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/430391/big_196946.JPG,2024-12-27
siselyo jiya cargo knit pants bw m18436 r95s3,Siselyo,85000,"Hello Beauty! Kenalin cargo knit pants extra size alias jumbo yang memiliki tampilan casual dengan tekstur bahan melar, halus dan tidak nerawang jadi sangat nyaman untuk keseharian kamu. Cuttingannya loose ditambah detail saku yang fungsional. Cocok untuk dipadu padankan dengan segala macam style fashion kamu. Yuk check out sekarang!
","
- Hornet knit premium material",All Size,Broken White,Belanja Sekarang,https://www.hijup.com/id/pants/132955-siselyo-jiya-cargo-knit-pants-bw-m18436-r95s3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/731416/big_DSCF3868.jpg,2024-12-27
,,175000,,,,,Sold Out,https://www.hijup.com/en/categories/pants?product_search%5Bpage%5D=6,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/749599/smaller_26806-338805.jpg,2024-12-27
syanaz pants,Fey Attire Official,104500,"Celana kulot panjang high waist yang dilengkapi tali pita yang bisa dilepas pasang dan karet pada bagian pinggang. Terdapat resleting dan  saku pada bagian sebelah kanan dan kiri
",Torino,All Size,Plum,Belanja Sekarang,https://www.hijup.com/id/pants/100177-syanaz-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/540075/big_FEY_ATIRE_1_1_BAWAHAN.JPG,2024-12-27
celana panjang basic linen rami model kancing,Lunan GO,95000,"Celana ini terbuat dari bahan Rami yang tidak kaku, tebal tapi lembut dan nyaman dipake,cocok untuk ke kantor,kuliah atau bahkan menjadi pelengkap OOTD kalian.
 
Celana Basic  ini sangat nyaman dipakai karena bentuknya longgar,tidak ketat, dengan karet dibagian belakang Pinggang serta kancing dibagian bawah celanan yang bisa dikait untuk membentuk celana pencil dan dilepas untuk memudahkan saat berwudhu.",Celana Bahan Katun Ima,All Size,Navy,Belanja Sekarang,https://www.hijup.com/id/pants/98802-celana-panjang-basic-linen-rami-model-kancing,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/532415/big_clns3.jpg,2024-12-27
longpant baggy twill tina coklat abu,LEZAHRASIGNATURE,179850,"Jenis tipe celana panjang yang dapat sangat kamu andalkan
baik untuk digunakan untuk kegiatan sehari2, ngantor/meeting atau acara hangout.",- Celana panjang baggy,XXL /9115.JO,Coklat Abu,Buy Now,https://www.hijup.com/en/pants/92922-longpant-baggy-twill-tina-coklat-abu,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/499854/big_HJP_CKA3.jpg,2024-12-27
celana panjang kulot bahan katun ima,Lunan GO,105000,"Celana ini terbuat dari bahan Katun Ima  yang tidak kaku, tebal tapi lembut dan nyaman dipake,cocok untuk ke kantor,kuliah atau bahkan menjadi pelengkap OOTD kalian.
 
Celana Kulot   ini sangat nyaman dipakai karena bentuknya longgar,tidak ketat, dengan karet dibagian belakang Pinggang serta rampel dibagian pinggang.",Celana Bahan Katun Ima,All Size,Coral,Belanja Sekarang,https://www.hijup.com/id/pants/98789-celana-panjang-kulot-bahan-katun-ima,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/532365/big_WhatsApp_Image_2022-05-19_at_10.11.41.jpeg,2024-12-27
ashley kulot celana denim bawah lebar,LEZAHRASIGNATURE,189450,Buat gaya harian jadi lebih stylish dengan Kulot Denim Ashley Celana  yang memiliki siluet wide-leg dan aplikasi karet pada bagian pinggang dilengkapi saku. Tersedia dalam tiga pilihan warna menarik.,- Kulot potongan lebar.,All Size /6007.IN2,Super Black,Belanja Sekarang,https://www.hijup.com/id/pants/76738-ashley-kulot-celana-denim-bawah-lebar,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/662425/big_KULOT_DENIM_ASHLEY_BLK.jpg,2024-12-27
alunicorn kai pants pants wanita knit rajut off white,Alunicorn,189000,"Kai Knit Pants 

Kai Pants merupakan celana berbahan knit premium yang handmade sehingga lembut, stretchy, flowy dan nyaman. Memiliki pinggang full karet sehingga tidak perlu takut kekecilan. Cuttingannya dibuat wide leg sehingga memberi efek jenjang, cocok digunakan di acara santai maupun semi formal.


Size Chart :

A/B

Panjang Celana               : 100/100

Lingkar Pinggang            : 60/64

Lingkar Pinggul                : 82/84

Lingkar Paha                    : 52/54


Warna : Teal (Hijau tosca), Deep Taupe, Charcoal, Brown Sugar, Jade Black, Simple Taupe, Pumpkin (orange), Deep Pink, Off White, Forest Green.


Notes :

Kemungkinan perbedaan sedikit warna antara barang yang difoto dan barang aslinya, dikarenakan faktor cahaya dan setting layar tampilan Anda, atau flash kamera. 


Instruksi Perawatan :

Jangan gunakan pemutih

Jangan dicuci di mesin cuci

Setrika dengan panas rendah","Berat (dalam gram, max. 6000, 3-4 item Atasan berkisar 1 kg):",B (L-XL),Off White,Belanja Sekarang,https://www.hijup.com/id/pants/126666-alunicorn-kai-pants-pants-wanita-knit-rajut-off-white,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/686268/big_FOTO_PRODUK_WEB_12.png,2024-12-27
kulot katun ashley dark grey,LEZAHRASIGNATURE,149850,Kulot Katun Ashley dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,- Celana kulot,M /708.BYL,Dark Grey,Belanja Sekarang,https://www.hijup.com/id/pants/101450-kulot-katun-ashley-dark-grey,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/547105/big_HJP_DGRY5.jpg,2024-12-27
longpant baggy twill tina black,LEZAHRASIGNATURE,179850,"Jenis tipe celana panjang yang dapat sangat kamu andalkan
baik untuk digunakan untuk kegiatan sehari2, ngantor/meeting atau acara hangout.",- Celana panjang baggy,XXL /9115.JO,Black,Buy Now,https://www.hijup.com/en/pants/92925-longpant-baggy-twill-tina-black,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/499865/big_HJP_BLK4.jpg,2024-12-27
longpant baggy twill tina abu muda,LEZAHRASIGNATURE,179850,"Jenis tipe celana panjang yang dapat sangat kamu andalkan
baik untuk digunakan untuk kegiatan sehari2, ngantor/meeting atau acara hangout.",- Celana panjang baggy,XXL /9115.JO,Abu Muda,Buy Now,https://www.hijup.com/en/pants/92928-longpant-baggy-twill-tina-abu-muda,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/499882/big_HJP_LGRY2.jpg,2024-12-27
longpant basic ara beige,LEZAHRASIGNATURE,139900,Longpant Basic Ara dari Zahra Signature. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,- Celana panjang,M /9934.BPC,Beige,Buy Now,https://www.hijup.com/en/pants/87747-longpant-basic-ara-beige,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/474575/big_BEIGE_3.jpg,2024-12-27
naya sweatpants celana kargo babyterry,LEZAHRASIGNATURE,239000,Naya Sweatpants (Celana Kargo Babyterry) dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Soft Babyterry,XXL /2382CL,Abu - Abu,Belanja Sekarang,https://www.hijup.com/id/pants/141020-naya-sweatpants-celana-kargo-babyterry,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766584/big_IMG_3844.JPG,2024-12-27
